State,Best_Model
Alabama,Prophet
Arizona,Prophet
Arkansas,Prophet
California,Prophet
Colorado,Prophet
Connecticut,Prophet
Florida,Prophet
Georgia,Prophet
Illinois,Prophet
Indiana,Prophet
Iowa,Prophet
Kansas,Prophet
Kentucky,Prophet
Louisiana,Prophet
Maine,Prophet
Maryland,Prophet
Massachusetts,Prophet
Michigan,Prophet
Minnesota,Prophet
Mississippi,Prophet
Missouri,Prophet
Nebraska,Prophet
Nevada,Prophet
New Hampshire,Prophet
New Mexico,Prophet
New York,Prophet
North Carolina,Prophet
Ohio,Prophet
Oklahoma,Prophet
Oregon,Prophet
Pennsylvania,Prophet
Rhode Island,Prophet
South Carolina,Prophet
South Dakota,Prophet
Tennessee,Prophet
Texas,Prophet
Utah,Prophet
Vermont,Prophet
Virginia,Prophet
Washington,Prophet
West Virginia,Prophet
Wisconsin,Prophet
Wyoming,Prophet
