State,Forecast_Date,Predicted_Sales
Alabama,2023-12-04,527302146
Alabama,2023-12-11,528008553
Alabama,2023-12-18,514301678
Alabama,2023-12-25,484691449
Alabama,2024-01-01,460808486
Alabama,2024-01-08,461280360
Alabama,2024-01-15,480309529
Alabama,2024-01-22,495968416
Arizona,2023-12-04,555323133
Arizona,2023-12-11,552599284
Arizona,2023-12-18,534406828
Arizona,2023-12-25,501458869
Arizona,2024-01-01,477979883
Arizona,2024-01-08,482394096
Arizona,2024-01-15,505595699
Arizona,2024-01-22,522416015
Arkansas,2023-12-04,286994318
Arkansas,2023-12-11,287906049
Arkansas,2023-12-18,280319038
Arkansas,2023-12-25,263509234
Arkansas,2024-01-01,250035586
Arkansas,2024-01-08,250632260
Arkansas,2024-01-15,261814958
Arkansas,2024-01-22,270690387
California,2023-12-04,2330395597
California,2023-12-11,2319743538
California,2023-12-18,2242637687
California,2023-12-25,2109739113
California,2024-01-01,2020791394
California,2024-01-08,2043088783
California,2024-01-15,2132388717
California,2024-01-22,2189180435
Colorado,2023-12-04,445903874
Colorado,2023-12-11,447938371
Colorado,2023-12-18,433440363
Colorado,2023-12-25,403472879
Colorado,2024-01-01,380540875
Colorado,2024-01-08,382155863
Colorado,2024-01-15,401086320
Colorado,2024-01-22,415027603
Connecticut,2023-12-04,231060089
Connecticut,2023-12-11,232388840
Connecticut,2023-12-18,226301382
Connecticut,2023-12-25,211883256
Connecticut,2024-01-01,199646704
Connecticut,2024-01-08,199131588
Connecticut,2024-01-15,208002361
Connecticut,2024-01-22,215404564
Florida,2023-12-04,1897854246
Florida,2023-12-11,1900156272
Florida,2023-12-18,1867525108
Florida,2023-12-25,1780430594
Florida,2024-01-01,1702385740
Florida,2024-01-08,1700090407
Florida,2024-01-15,1764506531
Florida,2024-01-22,1826111980
Georgia,2023-12-04,973359743
Georgia,2023-12-11,975252291
Georgia,2023-12-18,950616132
Georgia,2023-12-25,898248980
Georgia,2024-01-01,858983693
Georgia,2024-01-08,865215848
Georgia,2024-01-15,902445023
Georgia,2024-01-22,928395385
Illinois,2023-12-04,851460084
Illinois,2023-12-11,855482926
Illinois,2023-12-18,830905159
Illinois,2023-12-25,776670021
Illinois,2024-01-01,733616573
Illinois,2024-01-08,736066792
Illinois,2024-01-15,772097590
Illinois,2024-01-22,799216126
Indiana,2023-12-04,567354657
Indiana,2023-12-11,570520587
Indiana,2023-12-18,555419156
Indiana,2023-12-25,520899625
Indiana,2024-01-01,493128371
Indiana,2024-01-08,494057382
Indiana,2024-01-15,516116924
Indiana,2024-01-22,532748741
Iowa,2023-12-04,290009068
Iowa,2023-12-11,290853911
