State,Prophet,XGBoost,SARIMA,LSTM,Winner,LSTM_Note
Alabama,15.47,24.46,38.07,39.6,Prophet,estimated (avg of 10 sampled states)
Arizona,13.37,32.32,39.22,39.6,Prophet,estimated (avg of 10 sampled states)
Arkansas,15.61,32.72,37.89,39.6,Prophet,estimated (avg of 10 sampled states)
California,16.08,34.89,41.23,44.5,Prophet,measured
Colorado,15.79,34.36,38.58,39.6,Prophet,estimated (avg of 10 sampled states)
Connecticut,16.16,33.14,37.09,39.6,Prophet,estimated (avg of 10 sampled states)
Florida,15.59,38.73,40.68,35.92,Prophet,measured
Georgia,16.11,33.31,38.65,36.74,Prophet,measured
Illinois,17.66,37.78,40.7,43.07,Prophet,measured
Indiana,15.55,35.61,38.96,39.6,Prophet,estimated (avg of 10 sampled states)
Iowa,17.25,29.39,38.02,39.6,Prophet,estimated (avg of 10 sampled states)
Kansas,15.9,29.42,37.9,39.6,Prophet,estimated (avg of 10 sampled states)
Kentucky,15.85,33.5,38.14,39.6,Prophet,estimated (avg of 10 sampled states)
Louisiana,15.8,30.17,40.26,39.6,Prophet,estimated (avg of 10 sampled states)
Maine,16.51,32.65,39.87,39.6,Prophet,estimated (avg of 10 sampled states)
Maryland,15.66,38.8,39.78,39.6,Prophet,estimated (avg of 10 sampled states)
Massachusetts,17.83,36.19,39.54,39.6,Prophet,estimated (avg of 10 sampled states)
Michigan,11.61,32.28,39.4,37.76,Prophet,measured
Minnesota,15.3,32.4,38.1,39.6,Prophet,estimated (avg of 10 sampled states)
Mississippi,26.78,31.12,38.32,39.6,Prophet,estimated (avg of 10 sampled states)
Missouri,14.65,32.54,37.5,39.6,Prophet,estimated (avg of 10 sampled states)
Nebraska,22.13,34.7,37.19,39.6,Prophet,estimated (avg of 10 sampled states)
Nevada,17.0,26.92,39.29,39.6,Prophet,estimated (avg of 10 sampled states)
New Hampshire,14.34,35.32,39.28,39.6,Prophet,estimated (avg of 10 sampled states)
New Mexico,17.37,31.01,38.91,39.6,Prophet,estimated (avg of 10 sampled states)
New York,15.96,37.36,39.1,41.19,Prophet,measured
North Carolina,15.01,29.04,38.71,42.67,Prophet,measured
Ohio,17.03,33.82,39.27,33.81,Prophet,measured
Oklahoma,18.35,30.17,37.73,39.6,Prophet,estimated (avg of 10 sampled states)
Oregon,14.95,33.0,37.56,39.6,Prophet,estimated (avg of 10 sampled states)
Pennsylvania,16.21,34.35,39.11,39.98,Prophet,measured
Rhode Island,13.75,30.27,36.31,39.6,Prophet,estimated (avg of 10 sampled states)
South Carolina,16.2,35.31,37.98,39.6,Prophet,estimated (avg of 10 sampled states)
South Dakota,16.86,27.9,38.28,39.6,Prophet,estimated (avg of 10 sampled states)
Tennessee,15.05,30.97,38.04,39.6,Prophet,estimated (avg of 10 sampled states)
Texas,15.83,32.32,38.91,40.35,Prophet,measured
Utah,14.22,29.47,39.54,39.6,Prophet,estimated (avg of 10 sampled states)
Vermont,15.38,36.33,36.9,39.6,Prophet,estimated (avg of 10 sampled states)
Virginia,17.44,30.6,38.46,39.6,Prophet,estimated (avg of 10 sampled states)
Washington,12.82,35.29,37.71,39.6,Prophet,estimated (avg of 10 sampled states)
West Virginia,16.47,28.78,38.11,39.6,Prophet,estimated (avg of 10 sampled states)
Wisconsin,13.61,34.98,38.06,39.6,Prophet,estimated (avg of 10 sampled states)
Wyoming,14.57,34.25,38.28,39.6,Prophet,estimated (avg of 10 sampled states)
