Model,SMAPE (%),RMSE,State
Prophet,15.15,69626092.0,Alabama
XGBoost,27.91,101502199.0,Alabama
SARIMA,38.07,121441233.0,Alabama
LSTM,40.38,126032941.0,Alabama
Prophet,13.37,68348865.0,Arizona
XGBoost,30.09,113860192.0,Arizona
LSTM,38.81,131911906.0,Arizona
SARIMA,39.22,135147538.0,Arizona
Prophet,15.34,36933034.0,Arkansas
XGBoost,27.34,52398340.0,Arkansas
LSTM,37.68,63416018.0,Arkansas
SARIMA,37.89,64075358.0,Arkansas
Prophet,16.32,316205268.0,California
XGBoost,33.82,498532077.0,California
SARIMA,41.23,548853800.0,California
LSTM,42.78,562056320.0,California
Prophet,15.9,60657566.0,Colorado
SARIMA,38.58,104882533.0,Colorado
XGBoost,39.29,110727590.0,Colorado
LSTM,44.13,115955621.0,Colorado
Prophet,15.1,28880686.0,Connecticut
XGBoost,33.93,50495474.0,Connecticut
SARIMA,37.09,51027368.0,Connecticut
LSTM,40.68,54732151.0,Connecticut
Prophet,13.64,247786576.0,Florida
XGBoost,40.58,484550405.0,Florida
SARIMA,40.68,477202370.0,Florida
LSTM,42.81,489882082.0,Florida
Prophet,16.19,134849265.0,Georgia
XGBoost,31.64,203004875.0,Georgia
SARIMA,38.65,227804132.0,Georgia
LSTM,43.02,243743671.0,Georgia
Prophet,17.97,119747015.0,Illinois
XGBoost,32.89,183950587.0,Illinois
SARIMA,40.7,201907440.0,Illinois
LSTM,46.64,221399500.0,Illinois
Prophet,15.37,73814386.0,Indiana
XGBoost,34.15,128240634.0,Indiana
SARIMA,38.96,133600162.0,Indiana
LSTM,42.56,140067531.0,Indiana
Prophet,17.84,42218879.0,Iowa
XGBoost,27.77,56395240.0,Iowa
SARIMA,38.02,67758755.0,Iowa
LSTM,40.93,71035711.0,Iowa
Prophet,16.06,30403320.0,Kansas
XGBoost,26.16,41836964.0,Kansas
LSTM,37.61,51775694.0,Kansas
SARIMA,37.9,52762026.0,Kansas
Prophet,15.74,58585836.0,Kentucky
XGBoost,30.52,89782252.0,Kentucky
SARIMA,38.14,101708961.0,Kentucky
LSTM,40.75,105463038.0,Kentucky
Prophet,17.21,68081010.0,Louisiana
XGBoost,26.95,83294720.0,Louisiana
SARIMA,40.26,113893464.0,Louisiana
LSTM,42.51,117900623.0,Louisiana
Prophet,16.51,16810573.0,Maine
SARIMA,39.87,28990767.0,Maine
XGBoost,41.9,31148975.0,Maine
LSTM,44.49,31143054.0,Maine
Prophet,15.67,55199762.0,Maryland
XGBoost,32.89,90263556.0,Maryland
SARIMA,39.78,98884620.0,Maryland
LSTM,43.43,105500549.0,Maryland
Prophet,17.7,67141107.0,Massachusetts
XGBoost,36.34,110224547.0,Massachusetts
LSTM,39.15,110351532.0,Massachusetts
SARIMA,39.54,112674450.0,Massachusetts
Prophet,13.93,90443312.0,Michigan
XGBoost,31.59,160436533.0,Michigan
SARIMA,39.4,177385294.0,Michigan
LSTM,44.2,191195514.0,Michigan
Prophet,15.25,50739657.0,Minnesota
XGBoost,30.54,83429130.0,Minnesota
SARIMA,38.1,91585188.0,Minnesota
LSTM,38.92,92053414.0,Minnesota
Prophet,26.71,59527309.0,Mississippi
XGBoost,29.3,62699402.0,Mississippi
SARIMA,38.32,73125334.0,Mississippi
LSTM,40.84,75688251.0,Mississippi
Prophet,14.82,61876974.0,Missouri
XGBoost,31.27,98644489.0,Missouri
SARIMA,37.5,112422012.0,Missouri
LSTM,38.04,112159823.0,Missouri
Prophet,21.4,25520644.0,Nebraska
XGBoost,29.94,31687915.0,Nebraska
LSTM,34.17,32651299.0,Nebraska
SARIMA,37.19,35599345.0,Nebraska
Prophet,16.99,37908359.0,Nevada
XGBoost,26.98,49946148.0,Nevada
